,id,label
0,108042,313
1,108539,9
2,451152,256
3,451153,256
4,451154,256
5,451156,256
6,451271,224
7,699763,281
8,2838058,202
9,2903368,202
10,2914274,256
11,2939009,188
12,2956183,154
13,2956184,154
14,3178749,41
15,3241371,92
16,3241840,313
17,3678121,137
18,3988895,256
19,4075108,180
20,4075111,180
21,4076420,186
22,4076629,154
23,4076630,154
24,4081035,313
25,4081036,313
26,4081049,207
27,4085758,80
28,4089846,269
29,4089847,269
30,4090239,189
31,4097476,303
32,4180556,111
33,4227933,310
34,4239295,209
35,4239815,126
36,4240417,181
37,4240903,177
38,4243023,30
39,4243024,30
40,4244828,282
41,4244829,281
42,4251186,252
43,4251190,252
44,4252522,126
45,4252532,280
46,4253286,92
47,4253288,313
48,4253431,92
49,4253511,313
50,4253527,179
51,4253646,98
52,4253657,98
53,4253887,207
54,4253932,180
55,4253966,313
56,4254099,149
57,4255883,9
58,4255959,16
59,4256144,292
60,4256229,117
61,4256244,92
62,4256264,290
63,4256358,98
64,4256651,290
65,4256950,149
66,4256953,149
67,4256976,207
68,4256999,161
69,4257005,161
70,4257006,161
71,4257232,313
72,4258095,62
73,4258101,161
74,4259619,62
75,4259627,62
76,4259687,62
77,4259726,62
78,4259880,161
79,4259897,290
80,4259902,161
81,4259910,161
82,4260006,179
83,4260009,179
84,4260010,179
85,4268231,189
86,4268232,189
87,4268233,189
88,4270104,250
89,4270739,9
90,4270744,9
91,4271138,75
92,4272920,92
93,4292234,240
94,4294306,47
95,4296209,240
96,4315778,180
97,4338882,42
98,4338883,42
99,4344560,18
100,4344588,215
101,4344589,215
102,4344591,215
103,4344595,215
104,4345905,154
105,4345973,243
106,4346332,154
107,4346333,154
108,4356408,204
109,4357123,14
110,4358388,88
111,4358458,117
112,4358719,219
113,4363425,272
114,4363426,159
115,4363427,159
116,4363428,159
117,4363438,159
118,4364605,30
119,4364957,140
120,4366294,53
121,4372002,117
122,4373996,149
123,4380345,126
124,4382815,117
125,4382816,117
126,4389729,63
127,4392742,264
128,4393572,98
129,4401812,111
130,4404347,202
131,4406050,140
132,4406359,212
133,4408761,177
134,4409075,177
135,4409715,99
136,4411324,91
137,4414101,111
138,4416362,113
139,4416363,113
140,4416384,113
141,4420816,188
142,4421339,262
143,4421341,262
144,4421346,262
145,4421347,262
146,4421348,262
147,4422151,280
148,4425872,267
149,4452352,99
150,4477132,213
151,4483968,132
152,4487926,160
153,4487927,160
154,4488669,67
155,4566319,53
156,4629282,16
157,4629309,16
158,4629310,16
159,4629356,16
160,4643195,51
161,4647094,16
162,4652279,16
163,4652365,16
164,4680796,191
165,4680850,313
166,4680891,313
167,4701427,113
168,4701535,67
169,4756940,67
170,4757046,67
171,4764027,167
172,4764498,0
173,4770293,270
174,4775621,0
175,4780410,174
176,4799189,94
177,4799251,242
178,4799493,0
179,4805934,116
180,4808830,189
181,4809118,264
182,4822314,217
183,4859425,18
184,4859728,139
185,4862221,18
186,4865011,94
187,4865563,16
188,4865768,16
189,4894273,215
190,4896040,80
191,4899481,291
192,4904172,215
193,4926701,264
194,4941195,285
195,4945244,204
196,4949574,6
197,4956613,144
198,4959880,175
199,4959893,175
200,4960905,52
201,4961871,269
202,4964138,91
203,4969113,118
204,4969133,118
205,4969151,303
206,4969160,303
207,4969746,186
208,4976041,109
209,4976046,109
210,4976051,109
211,4976052,109
212,4981842,127
213,4982149,136
214,4982161,290
215,4985325,55
216,4985326,55
217,4993542,188
218,4993543,188
219,4996129,300
220,4996140,300
221,4996178,38
222,4996181,307
223,4996714,310
224,4996718,310
225,4997029,153
226,5022048,188
227,5022226,249
228,5022227,249
229,5038029,199
230,5038724,272
231,5038725,272
232,5053340,231
233,5061857,268
234,5061858,268
235,5068515,0
236,5070293,212
237,5082648,251
238,5082649,251
239,5095245,91
240,5108124,269
241,5112993,94
242,5112996,94
243,5112997,94
244,5122303,118
245,5131192,280
246,5179389,196
247,5200419,215
248,5200422,80
249,5211981,269
250,5235501,215
251,5235508,215
252,5239874,187
253,5240949,187
254,5247415,187
255,5247896,187
256,5260188,139
