,0,1,2,3
0,0.316223226381,,,
1,0.176764631461,,,
2,4.32452830189,,,
3,0.320593017035,,,
4,0.233070031715,,,
5,0.231802126301,,,
6,0.166960151471,,,
7,0.417506752552,,,
8,1.37488137709,,,
9,0.291737843461,,,
10,0.297761209925,,,
11,0.366854308496,,,
12,0.487737700051,,,
13,0.437275772154,,,
14,0.247423270109,,,
15,0.192099179724,,,
16,0.207839585805,,,
17,0.373582504377,,,
18,0.450079713606,,,
19,0.251048779179,,,
20,0.509241282401,,,
21,0.62766693318,,,
22,0.334335558535,,,
23,0.559380286397,,,
24,0.21955605892,,,
25,0.603529899475,,,
26,0.316915678171,,,
27,0.229829281868,,,
28,0.634957695032,,,
29,0.405366401283,,,
30,0.291036134898,,,
31,0.22690755665,,,
32,0.882101238932,,,
33,0.181752700099,,,
34,0.900365475733,,,
35,0.880042818694,,,
36,0.286775357807,,,
37,0.337753207082,,,
38,0.245258701716,,,
39,0.45914053809,,,
40,0.317154229491,,,
41,0.230541660214,,,
42,0.24459782363,,,
43,0.319849035396,,,
44,0.416209258819,,,
45,0.360894292685,,,
46,0.553076543794,,,
47,0.282484853132,,,
48,0.206335807546,,,
49,0.257348417547,,,
50,0.767705967786,,,
51,1.39087626847,,,
52,0.383140732353,,,
53,0.227011334354,,,
54,0.511754927451,,,
55,0.281092550103,,,
56,0.228145423367,,,
57,1.47876798161,,,
58,3.05938325232,,,
59,0.403881446903,,,
60,2.05397917109,,,
61,0.694344387398,,,
62,0.372212282048,,,
63,0.354277683046,,,
64,0.199051927082,,,
65,1.27381291333,,,
66,8.16819732982,,,
67,0.245775446008,,,
68,0.315348947483,,,
69,0.265318201965,,,
70,3.73707201911,,,
71,0.631301943888,,,
72,0.839197723664,,,
73,0.389029199508,,,
74,1.26226910204,,,
75,1.49587443747,,,
76,0.669278782853,,,
77,1.76128815748,,,
78,3.05527165195,,,
79,5.73008245792,,,
80,8.14156593403,,,
81,2.24800375293,,,
82,12.8791582087,,,
