Ward_name,Old_code,New_code,Population__2015,In_employment_(1664)__2011,Number_of_jobs_in_area__2013,Median_House_Price_(£)__2014,Median_Household_income_(£)_estimate_(2012/13),Average_Public_Transport_Accessibility_score__2014
Bexley__St._Michael's,00ADGU,E05000082,11250.00,5423.00,1100.00,280000.00,38510.00,2.20
Bexley__Sidcup,00ADGW,E05000083,11000.00,5150.00,6000.00,280000.00,41220.00,3.20
Bexley__Thamesmead_East,00ADGX,E05000084,12550.00,4997.00,4100.00,190000.00,32100.00,2.60
Brent__Alperton,00AEGJ,E05000085,15300.00,6753.00,9000.00,249950.00,31250.00,3.00
Brent__Barnhill,00AEGK,E05000086,16250.00,6768.00,3700.00,333000.00,34630.00,3.00
Brent__Brondesbury_Park,00AEGL,E05000087,13300.00,6646.00,2000.00,465000.00,40020.00,3.80
Brent__Dollis_Hill,00AEGM,E05000088,13650.00,5254.00,6000.00,306000.00,30990.00,2.90
Brent__Dudden_Hill,00AEGN,E05000089,15750.00,6936.00,3700.00,495000.00,33470.00,3.40
Brent__Fryent,00AEGP,E05000090,14150.00,6015.00,4300.00,263750.00,35590.00,2.80
Brent__Harlesden,00AEGQ,E05000091,17500.00,6738.00,2200.00,305500.00,27030.00,3.80
Brent__Kensal_Green,00AEGR,E05000092,15050.00,7330.00,2000.00,500000.00,34640.00,4.10
Brent__Kenton,00AEGS,E05000093,12550.00,5637.00,2900.00,440000.00,42190.00,2.70
Brent__Kilburn,00AEGT,E05000094,17550.00,8518.00,3000.00,444632.00,34270.00,5.50
Brent__Mapesbury,00AEGU,E05000095,16000.00,8290.00,2200.00,450000.00,36830.00,4.50
Brent__Northwick_Park,00AEGW,E05000096,13300.00,6055.00,6700.00,470000.00,41100.00,2.70
Brent__Preston,00AEGX,E05000097,15750.00,6964.00,3900.00,350000.00,35960.00,3.40
Brent__Queens_Park,00AEGY,E05000098,15500.00,8501.00,5100.00,677500.00,42880.00,5.00
Brent__Queensbury,00AEGZ,E05000099,16800.00,6945.00,4600.00,366000.00,35110.00,3.00
Brent__Stonebridge,00AEHA,E05000100,17600.00,5789.00,19800.00,249950.00,25800.00,3.20
Brent__Sudbury,00AEHB,E05000101,15250.00,6931.00,2700.00,249950.00,33530.00,3.30
Brent__Tokyngton,00AEHC,E05000102,18900.00,7164.00,16000.00,322500.00,33130.00,3.50
Brent__Welsh_Harp,00AEHD,E05000103,14000.00,5999.00,1900.00,292475.00,31620.00,2.80
