Codes,Ward names,Borough,Hectares,Square Kilometres,Population 2015,Population per hectare 2015,Population per square kilometre 2015,Census population (2011),Population per hectare 2011
E05000627,Wandsworth Common,Wandsworth,276,3,15400,56,5579.710145,15247,55.24275362
E05000628,West Hill,Wandsworth,168.8,2,16850,100,9982.227488,16402,97.16824645
E05000629,West Putney,Wandsworth,184.6,2,15250,83,8261.105092,14742,79.85915493
E05000630,Abbey Road,Westminster,109.5,1,12200,111,11141.55251,11250,102.739726
E05000631,Bayswater,Westminster,51.8,1,10950,211,21138.99614,10300,198.8416988
E05000632,Bryanston and Dorset Square,Westminster,72.3,1,12950,179,17911.47994,11991,165.8506224
E05000633,Churchill,Westminster,60.9,1,10450,172,17159.2775,9618,157.9310345
E05000634,Church Street,Westminster,44.4,0,12300,277,27702.7027,11760,264.8648649
E05000635,Harrow Road,Westminster,49.5,0,13000,263,26262.62626,12034,243.1111111
E05000636,Hyde Park,Westminster,95.9,1,13500,141,14077.16371,12462,129.9478624
E05000637,Knightsbridge and Belgravia,Westminster,359.3,4,9500,26,2644.030058,9270,25.80016699
E05000638,Lancaster Gate,Westminster,63,1,14150,225,22460.31746,13195,209.4444444
E05000639,Little Venice,Westminster,63.6,1,11350,178,17845.91195,10633,167.1855346
E05000640,Maida Vale,Westminster,64.6,1,11050,171,17105.26316,10210,158.0495356
E05000641,Marylebone High Street,Westminster,100.1,1,11150,111,11138.86114,10366,103.5564436
E05000642,Queen's Park,Westminster,58.3,1,13200,226,22641.50943,12563,215.4888508
E05000643,Regent's Park,Westminster,225.6,2,12900,57,5718.085106,12067,53.48847518
E05000644,St. James's,Westminster,346.8,3,12050,35,3474.625144,10828,31.22260669
E05000645,Tachbrook,Westminster,44.4,0,8850,199,19932.43243,8158,183.7387387
E05000646,Vincent Square,Westminster,68.6,1,10750,157,15670.55394,9988,145.5976676
E05000647,Warwick,Westminster,57.4,1,9950,173,17334.49477,9369,163.2229965
E05000648,Westbourne,Westminster,67.4,1,13300,197,19732.93769,12759,189.3026706
E05000649,West End,Westminster,199.6,2,11500,58,5761.523046,10575,52.98096192
E09000002,Barking and Dagenham,Outer,"3,611",36.1,"203,600",56.4,"5,639","185,900",51.5
E09000003,Barnet,Outer,"8,675",86.7,"383,100",44.2,"4,416","356,400",41.1
E09000004,Bexley,Outer,"6,058",60.6,"240,600",39.7,"3,972","232,000",38.3
E09000005,Brent,Outer,"4,323",43.2,"325,300",75.2,"7,524","311,200",72
E09000006,Bromley,Outer,"15,013",150.1,"324,600",21.6,"2,162","309,400",20.6
E09000007,Camden,Inner,"2,179",21.8,"237,400",109,"10,895","220,300",101.1
E09000008,Croydon,Outer,"8,650",86.5,"380,700",44,"4,401","363,400",42
E09000009,Ealing,Outer,"5,554",55.5,"349,700",63,"6,296","338,400",60.9
E09000010,Enfield,Outer,"8,083",80.8,"329,000",40.7,"4,070","312,500",38.7
E09000011,Greenwich,Outer,"4,733",47.3,"273,000",57.7,"5,768","254,600",53.8
E09000012,Hackney,Inner,"1,905",19,"265,300",139.3,"13,927","246,300",129.3
E09000013,Hammersmith and Fulham,Inner,"1,640",16.4,"181,700",110.8,"11,081","182,500",111.3
E09000014,Haringey,Inner,"2,960",29.6,"271,000",91.6,"9,156","254,900",86.1
E09000015,Harrow,Outer,"5,046",50.5,"249,800",49.5,"4,950","239,100",47.4
E09000016,Havering,Outer,"11,235",112.3,"247,700",22,"2,205","237,200",21.1
E09000017,Hillingdon,Outer,"11,570",115.7,"296,500",25.6,"2,563","273,900",23.7
E09000018,Hounslow,Outer,"5,598",56,"271,800",48.6,"4,855","254,000",45.4
E09000019,Islington,Inner,"1,486",14.9,"224,600",151.2,"15,118","206,100",138.7
E09000020,Kensington and Chelsea,Inner,"1,212",12.1,"156,100",128.8,"12,875","158,700",130.9
E09000021,Kingston upon Thames,Outer,"3,726",37.3,"170,900",45.9,"4,587","160,100",43
E09000022,Lambeth,Inner,"2,681",26.8,"322,000",120.1,"12,010","303,100",113.1
E09000023,Lewisham,Inner,"3,515",35.1,"294,100",83.7,"8,367","275,900",78.5
E09000024,Merton,Outer,"3,762",37.6,"208,500",55.4,"5,542","199,700",53.1
E09000025,Newham,Inner,"3,620",36.2,"332,600",91.9,"9,188","308,000",85.1
E09000026,Redbridge,Outer,"5,642",56.4,"297,400",52.7,"5,271","279,000",49.5
E09000027,Richmond upon Thames,Outer,"5,741",57.4,"196,200",34.2,"3,418","187,000",32.6
E09000028,Southwark,Inner,"2,886",28.9,"306,700",106.3,"10,626","288,300",99.9
E09000029,Sutton,Outer,"4,385",43.8,"201,200",45.9,"4,589","190,100",43.4
E09000030,Tower Hamlets,Inner,"1,978",19.8,"287,100",145.1,"14,514","254,100",128.5
E09000031,Waltham Forest,Outer,"3,881",38.8,"273,900",70.6,"7,058","258,200",66.5
E09000032,Wandsworth,Inner,"3,426",34.3,"318,000",92.8,"9,281","307,000",89.6
E09000033,Westminster,Inner,"2,149",21.5,"235,000",109.4,"10,937","219,400",102.1
E13000001,Inner London,,"31,929",319.3,"3,439,700",107.7,"10,773","3,231,900",101.2
E13000002,Outer London,,"125,424","1,254.20","5,223,500",41.6,"4,165","4,942,100",39.4
E12000007,London,,"157,215","1,572.10","8,663,300",55.1,"5,510","8,173,900",52
