,id,type,first node,amenity,lat,lon
7248,114727942,way,1298854463,car_rental,,
7249,114727970,way,1298854785,car_rental,,
7250,114727972,way,1298854545,police,,
7251,114959181,way,1300765658,school,,
7252,115017273,way,1301200854,parking,,
7253,115020655,way,1301240918,parking,,
7254,115020658,way,1301240876,parking,,
7255,115020663,way,1301241039,parking,,
7256,115020682,way,1301240858,parking,,
7257,115020694,way,1301241136,parking,,
7258,115080383,way,1301704952,parking,,
7259,115080384,way,1301704955,parking,,
7260,115190097,way,3826787458,pub,,
7261,115190098,way,1302473541,parking,,
7262,115254697,way,1302996684,parking,,
7263,115263402,way,1303078699,parking,,
7264,115263408,way,1303078725,parking,,
7265,115263465,way,1303079124,parking,,
7266,115263488,way,1303079347,parking,,
7267,115263501,way,1303079382,school,,
7268,115263557,way,1303079464,parking,,
7269,115305455,way,387448032,parking,,
7270,115312084,way,1303384964,parking,,
7271,115312131,way,1303385321,place_of_worship,,
7272,115324386,way,1303464314,parking,,
7273,115324499,way,1303464679,parking,,
7274,115329752,way,1303497516,restaurant,,
7275,115329756,way,1303497563,pub,,
7276,115332874,way,1303520827,parking,,
7277,115379302,way,1303853849,place_of_worship,,
7278,115379395,way,1303853932,parking,,
7279,115379505,way,1303854598,parking,,
7280,115379601,way,1303859680,place_of_worship,,
7281,115387743,way,1303889178,parking,,
7282,115387757,way,1303889268,parking,,
7283,115387763,way,1303889285,parking,,
7284,115398291,way,623044897,parking,,
7285,115398305,way,1304024387,parking,,
7286,115398332,way,1304024411,parking,,
7287,115402712,way,1304041733,parking,,
7288,115402721,way,1304041608,parking,,
7289,115402754,way,1304041822,parking,,
7290,115402763,way,1304041445,parking,,
7291,115402765,way,1304041581,parking,,
7292,115407396,way,1304054780,place_of_worship,,
7293,115407399,way,1304054805,place_of_worship,,
7294,115407401,way,1304054874,school,,
7295,115407404,way,1304054890,school,,
7296,115407405,way,1304054898,place_of_worship,,
7297,115407414,way,1304054915,place_of_worship,,
7298,115407417,way,1304054924,place_of_worship,,
7299,115407418,way,1304054930,place_of_worship,,
7300,115407419,way,1304054934,place_of_worship,,
7301,115407420,way,1304054938,school,,
7302,115407792,way,1304065514,parking,,
7303,115407810,way,1304065604,parking,,
7304,115413466,way,1304102378,parking,,
7305,115413473,way,1304102609,parking,,
7306,115413480,way,1304102812,school,,
7307,115482409,way,1304621845,parking,,
7308,115483807,way,1304647310,parking,,
7309,115483814,way,1304647356,parking,,
7310,115483816,way,1304647309,parking,,
7311,115486049,way,1304652004,parking,,
7312,115488921,way,1304656362,parking,,
7313,115490892,way,1304671663,parking,,
7314,115491897,way,1304681238,parking,,
7315,115548882,way,1305113015,parking,,
7316,115592897,way,1305552545,place_of_worship,,
7317,115592899,way,1305552618,parking,,
7318,115594407,way,1305563050,parking,,
7319,115594439,way,1305563683,parking,,
7320,115595349,way,1305569535,pub,,
7321,115595596,way,1305571437,school,,
7322,115595602,way,1305571490,school,,
7323,115595615,way,1305571539,school,,
7324,115595617,way,1305571557,school,,
7325,115596278,way,1305575918,school,,
7326,115596279,way,1305575921,school,,
7327,115596282,way,1305575937,school,,
7328,115596283,way,3377465865,place_of_worship,,
7329,115596284,way,1305575945,place_of_worship,,
7330,115596288,way,3390868444,place_of_worship,,
7331,115596293,way,634460438,school,,
7332,115640262,way,1305925654,restaurant,,
7333,115642468,way,1305941510,theatre,,
7334,115642475,way,1305941404,parking,,
7335,115642480,way,1305941547,parking,,
7336,115642482,way,1305941412,parking,,
7337,115645123,way,1305961880,parking,,
7338,115645124,way,1305961882,parking,,
7339,115645528,way,1305967347,parking,,
7340,115645530,way,1305967333,parking,,
7341,115673240,way,1306189611,school,,
7342,115716615,way,1394454935,school,,
7343,115832064,way,1307547887,parking,,
7344,115832070,way,1307547875,parking,,
7345,115832084,way,1307547961,parking,,
7346,115832085,way,1307547964,parking,,
7347,115832087,way,1307547973,parking,,
7348,115864061,way,1307855490,police,,
7349,115864062,way,1307855512,police,,
7350,115905433,way,1308187726,fast_food,,
7351,115953695,way,1308725277,pharmacy,,
7352,115953701,way,1308725300,cafe,,
7353,115954141,way,1308745568,parking,,
7354,115978901,way,1309005587,pub,,
7355,116076146,way,1309945960,parking,,
7356,116306796,way,1311581091,school,,
7357,116308173,way,1311585543,school,,
7358,116308628,way,1311585712,place_of_worship,,
7359,116387211,way,1312117527,fast_food,,
7360,116396622,way,1312216946,dead_pub,,
7361,116396666,way,1312217148,parking,,
7362,116396667,way,1312216805,parking,,
7363,116396668,way,1312217199,parking,,
7364,116396669,way,1312217392,parking,,
7365,116398475,way,1312268412,place_of_worship,,
7366,116404991,way,1312333337,place_of_worship,,
7367,116404992,way,1312333351,school,,
7368,116404993,way,1312333361,school,,
7369,116404997,way,1312333404,school,,
7370,116405710,way,1312339674,school,,
7371,116406472,way,1312351227,place_of_worship,,
7372,116442716,way,1312736635,club,,
7373,116442728,way,1312736775,parking,,
7374,116442729,way,1312736722,parking,,
7375,116447828,way,1312782824,parking,,
7376,116465152,way,1312932891,school,,
7377,116508956,way,1313237367,restaurant,,
7378,116508957,way,764404143,fast_food,,
7379,116508959,way,1313237358,dentist,,
7380,116552276,way,1313713312,kindergarten,,
7381,116587093,way,1314004515,parking,,
7382,116606208,way,1314158418,parking,,
7383,116624957,way,1314328866,place_of_worship,,
7384,116764860,way,1315526395,hospital,,
7385,116768478,way,1315559714,parking,,
7386,116768480,way,1315559722,public_building,,
7387,116804485,way,1315996394,fuel,,
7388,116815518,way,1316072191,restaurant,,
7389,116815537,way,1316072223,restaurant,,
7390,116851613,way,1316355163,post_office,,
7391,116884434,way,1316626151,fuel,,
7392,116933215,way,1317141122,restaurant,,
7393,116933217,way,1317141182,pharmacy,,
7394,116933219,way,1317141161,cafe,,
7395,116933240,way,1317141158,fast_food,,
7396,116953195,way,646907095,parking,,
7397,116953200,way,1317343728,school,,
7398,116953204,way,1317343679,school,,
7399,116953211,way,1317343762,arts_centre,,
7400,116957518,way,3636954455,pub,,
7401,116987969,way,1317758420,parking,,
7402,117008110,way,1317874949,college,,
7403,117010297,way,1317892832,restaurant,,
7404,117031887,way,1318404415,post_office,,
7405,117047227,way,1132182376,cafe,,
7406,117169648,way,1319838246,fast_food,,
7407,117169649,way,1319838256,parking,,
7408,117175441,way,1319875898,place_of_worship,,
7409,117232134,way,1609379800,pub,,
7410,117284963,way,1320930509,parking,,
7411,117285166,way,1320930876,pub,,
7412,117349465,way,1321625041,parking,,
7413,117357204,way,1321766336,pub,,
7414,117357233,way,1321766378,post_office,,
7415,117357237,way,1321766821,cafe,,
7416,117357241,way,1321766331,cafe,,
7417,117361134,way,1321837029,arts_centre,,
7418,117361135,way,1321836850,theatre,,
7419,117363818,way,1321888793,marketplace,,
7420,117371880,way,1322039145,marketplace,,
7421,117384613,way,1322235284,parking,,
7422,117392996,way,1322386302,parking,,
7423,117392999,way,1322386442,parking,,
7424,117393004,way,1322386682,parking,,
7425,117393021,way,1322386256,parking,,
7426,117393024,way,1322386093,parking,,
7427,117393026,way,1322386180,parking,,
7428,117393027,way,1322386389,parking,,
