,id,lat,lon,amenity
128,4421346,51.6510479,-0.063723,parking
129,4421347,51.6507227,-0.0621056,parking
130,4421348,51.6505525,-0.0603353,cinema
131,4425872,51.5458216,-0.4823262,parking
132,4437826,51.449846,-0.1793798,prison
133,4442967,51.674037,-0.056693,school
134,4443239,51.6567863,-0.054121,school
135,4443297,51.6789887,-0.0425092,school
136,4443314,51.667033,-0.0394147,school
137,4444348,51.38358,-0.0392124,parking
138,4449982,51.6728812,-0.0833247,parking
139,4462809,51.6462283,-0.1101037,parking
140,4478490,51.5755437,-0.218819,parking
141,4495959,51.687375,-0.0024319,parking
142,4520158,51.6894584,0.0041906,school
143,4522391,51.4724989,0.3255028,parking
144,4526798,51.5076284,0.2914117,parking
145,4526848,51.689233,0.0345185,school
146,4534613,51.4325235,-0.5100742,parking
147,4536914,51.4283588,-0.1733518,hospital
148,4539400,51.6863427,-0.005798,parking
149,4539566,51.6862878,-0.0005301,parking
150,4578988,51.6603231,-0.2655516,parking
151,4629282,51.4630719,-0.0832968,parking
152,4639830,51.4836832,-0.2965987,parking
153,4647094,51.4617186,-0.0776697,school
154,4652365,51.4627716,-0.0712108,school
155,4679029,51.599103,0.3194573,parking
156,4679032,51.598395,0.3257149,parking
157,4680850,51.5331113,-0.1391063,park
158,4680891,51.5290221,-0.1269425,library
159,4698713,51.6421884,0.2437208,parking
160,4734008,51.4366506,-0.2571466,parking
161,4734010,51.4329605,-0.2685039,parking
162,4759558,51.4729361,-0.355324,parking
163,4759560,51.4721447,-0.3566791,parking
164,4763342,51.6652292,-0.3967755,parking
165,4764498,51.436595,-0.320441,parking
166,4765426,51.4636302,-0.2841918,school
167,4766398,51.4804984,-0.2853396,school
168,4769267,51.4662852,-0.2889762,parking
169,4769474,51.4303389,-0.2637349,university
170,4770429,51.4211262,-0.2927232,school
171,4770646,51.417081,-0.2863942,school
172,4770823,51.4286228,-0.2613999,school
173,4775583,51.4431421,-0.3046863,school
174,4775621,51.4368408,-0.3190955,school
175,4779069,51.4795127,-0.2795368,parking
176,4784157,51.5774384,0.2051755,school
177,4788807,51.4812851,-0.2803375,public_building
178,4796634,51.5638395,-0.3308689,school
179,4800540,51.5735897,0.197701,school
180,4805648,51.4732738,-0.2944543,restaurant
181,4805934,51.4818665,-0.2889463,university
182,4806023,51.4832827,-0.2934479,restaurant
183,4808830,51.5569205,-0.3383017,parking
184,4808847,51.5553411,-0.3441482,swimming_pool
185,4808852,51.5554246,-0.3433616,parking
186,4809118,51.5569474,-0.3386416,school
