,id,type,first node,amenity
11659,183326718,way,1936974676.0,restaurant
11660,183351590,way,2385353244.0,grave_yard
11661,183353274,way,1937231507.0,school
11662,183353302,way,4032110894.0,parking
11663,183353303,way,1937231684.0,parking
11664,183361412,way,1597687534.0,fast_food
11665,183366008,way,1937391970.0,pub
11666,183366864,way,1621860539.0,theatre
11667,183466217,way,1938414376.0,parking
11668,183487653,way,1938686674.0,parking
11669,183489183,way,1938720938.0,parking
11670,183490245,way,1938743711.0,parking
11671,183490250,way,1938743715.0,parking
11672,183530931,way,1939280037.0,place_of_worship
11673,183532087,way,1939295884.0,place_of_worship
11674,183562698,way,1939652211.0,fast_food
11675,183657749,way,1940714305.0,parking
11676,183729693,way,1941405809.0,parking
11677,183746390,way,1941530545.0,cafe
11678,183746395,way,1941530521.0,pub
11679,183778258,way,1941884604.0,studio
11680,183779298,way,1941892589.0,school
11681,183779304,way,1941892296.0,fuel
11682,183779392,way,1941892424.0,parking
11683,183779410,way,1941892806.0,parking
11684,183779413,way,1941893074.0,parking
11685,183855097,way,1942722021.0,school
11686,183870699,way,1942857909.0,place_of_worship
11687,183872359,way,1942868411.0,school
11688,183921133,way,1943422475.0,self_storage
11689,183921146,way,1943422510.0,fuel
11690,183994993,way,1944353112.0,parking
11691,184015671,way,1944545043.0,public_building
11692,184117318,way,1954737911.0,school
11693,184117749,way,1942868415.0,school
11694,184144380,way,1945910350.0,school
11695,184144489,way,1945913504.0,school
11696,184145299,way,1945916677.0,school
11697,184154674,way,1945997323.0,hospital
11698,184272303,way,1947322105.0,parking
11699,184280213,way,4675370647.0,place_of_worship
11700,184280909,way,1947398573.0,school
11701,184288140,way,1947476215.0,theatre
11702,184320339,way,1947865283.0,place_of_worship
11703,184349182,way,15857863.0,parking
11704,184391025,way,1948704969.0,place_of_worship
11705,184421885,way,1948979508.0,restaurant
11706,184421893,way,1948979466.0,studio
11707,184423051,way,1948992901.0,place_of_worship
11708,184441426,way,1949215712.0,police
11709,184441440,way,1949215714.0,place_of_worship
11710,184441457,way,1949215696.0,parking
11711,184441460,way,1949215772.0,parking
11712,184442302,way,1949224911.0,parking
11713,184442306,way,3230431021.0,place_of_worship
11714,184442344,way,1949224479.0,school
11715,184442351,way,1763057171.0,parking
11716,184467859,way,1949538108.0,school
11717,184479980,way,1949721102.0,place_of_worship
11718,184479990,way,1949721142.0,doctors
11719,184486961,way,1407417230.0,parking
11720,184565047,way,1950617371.0,parking
11721,184565048,way,1950617374.0,swimming_pool
11722,184602488,way,1950993318.0,library
11723,184711041,way,1952175122.0,place_of_worship
11724,184711096,way,1952176322.0,place_of_worship
11725,184724445,way,1952362514.0,fast_food
11726,184875202,way,1954507386.0,place_of_worship
11727,184877785,way,1954541256.0,school
11728,184885174,way,1954626576.0,parking
11729,184901428,way,1954731492.0,post_depot
11730,184905774,way,3942482631.0,school
11731,184923937,way,1954954785.0,parking
11732,185071687,way,1956498789.0,place_of_worship
11733,185130567,way,1957026245.0,parking
11734,185201447,way,1957616097.0,parking
11735,185201477,way,1957616068.0,parking
11736,185201478,way,1957616042.0,parking
11737,185245245,way,1958041107.0,place_of_worship
11738,185263315,way,1958226357.0,post_office
11739,185271554,way,1958310527.0,pub
11740,185312889,way,21593231.0,pub
11741,185326557,way,1959010497.0,parking
11742,185424389,way,1960223230.0,place_of_worship
11743,185486277,way,1960869223.0,fast_food
11744,185518204,way,1961338531.0,parking
11745,185594063,way,1962448094.0,school
11746,185669080,way,1963225401.0,school
11747,185669845,way,1343966776.0,veterinary
11748,185672801,way,1149458895.0,restaurant
11749,185674645,way,1963358477.0,public_building
11750,185675266,way,1963366820.0,parking
11751,185755085,way,1964240634.0,school
11752,185764423,way,1952362592.0,marketplace
11753,185766324,way,1964414362.0,community_centre
11754,185773669,way,1964555299.0,cafe
11755,185778127,way,3308721070.0,marketplace
11756,185883136,way,1965696003.0,school
11757,185883138,way,1965696210.0,hospital
11758,185883179,way,1965696072.0,parking
11759,185883188,way,1965696145.0,parking
11760,185893849,way,1965839470.0,parking
11761,185903877,way,245804257.0,parking
11762,185905085,way,1965956665.0,fast_food
11763,185915358,way,1966015449.0,cafe
11764,185915365,way,1966015465.0,veterinary
11765,185915366,way,1966015480.0,fast_food
11766,185915376,way,1966015452.0,fast_food
11767,185915378,way,1966015483.0,bar
11768,185915379,way,1966015470.0,restaurant
11769,185915390,way,1966015484.0,pub
11770,185967032,way,1966603106.0,school
11771,185967903,way,1966620923.0,parking
11772,185981440,way,1966694511.0,cafe
11773,186015113,way,1967138374.0,parking
11774,186116730,way,3984694000.0,school
11775,186139059,way,1966015395.0,fast_food
11776,186152883,way,1968479266.0,pub
11777,186177881,way,1968744171.0,lifeboat_station
11778,186192746,way,1617941508.0,boat_storage
11779,186256492,way,3472797963.0,school
11780,186256960,way,1969430424.0,parking
11781,186262487,way,1969482358.0,parking
11782,186266729,way,1969556818.0,restaurant
11783,186279370,way,1969622854.0,pub
11784,186306497,way,1969830056.0,school
11785,186334233,way,1970055820.0,parking
11786,186345544,way,1970217159.0,public_building
11787,186376365,way,1970560081.0,theatre
11788,186393713,way,1970751211.0,place_of_worship
11789,186396289,way,1970784696.0,school
11790,186463534,way,1971677483.0,school
11791,186478873,way,1971919142.0,parking
11792,186481601,way,1971929465.0,parking
11793,186491337,way,1972059796.0,college
11794,186498936,way,1972148223.0,parking
11795,186559755,way,1972940187.0,parking
11796,186559763,way,1972940127.0,parking
11797,186562782,way,1973000256.0,parking
11798,186565350,way,1973016193.0,parking
11799,186565366,way,4115120506.0,veterinary
11800,186571641,way,1973065904.0,public_building
11801,186571642,way,1983269587.0,place_of_worship
11802,186574172,way,1973260622.0,parking
11803,186577295,way,3639472136.0,university
11804,186577302,way,1973224773.0,parking
11805,186577303,way,357469762.0,parking
11806,186577763,way,1973238146.0,school
11807,186577768,way,355416940.0,bank
11808,186579631,way,1973267202.0,parking
11809,186617989,way,1973622886.0,parking
11810,186635652,way,1973787020.0,toilets
11811,186648331,way,1973891242.0,school
11812,186649277,way,3187353333.0,school
11813,186669161,way,1974200140.0,embassy
11814,186756568,way,1974988485.0,parking
11815,186766214,way,1975093218.0,parking
11816,186837355,way,1930902688.0,school
11817,186890169,way,1976375039.0,school
11818,186890764,way,1976379848.0,school
11819,186947645,way,1976953368.0,parking
11820,186955181,way,1977036545.0,parking
11821,186955197,way,1977036597.0,parking
11822,186972121,way,1977202132.0,place_of_worship
11823,186972125,way,1977202138.0,recycling
11824,186972126,way,1977202196.0,place_of_worship
11825,186972131,way,1977202062.0,post_depot
11826,186975187,way,1977230313.0,place_of_worship
11827,186976330,way,1977276652.0,bus_station
11828,186977094,way,1977311981.0,hospital
11829,186977360,way,1977338033.0,parking
11830,186978919,way,1977354395.0,parking
11831,186978928,way,1977354399.0,parking
11832,186978931,way,1977354421.0,parking
11833,186981677,way,1371598326.0,school
11834,187024984,way,1977791079.0,place_of_worship
11835,187024985,way,1977791058.0,grave_yard
11836,187025076,way,1977791580.0,parking
11837,187066940,way,1978234893.0,parking
11838,187066943,way,1978234884.0,parking
11839,187067846,way,1978248691.0,parking
11840,187070658,way,1978305177.0,parking
11841,187070673,way,1978305247.0,parking
11842,187235129,way,1979701610.0,school
11843,187272264,way,1979973219.0,pub
11844,187303035,way,1980176033.0,parking
11845,187358541,way,1980665561.0,school
11846,187699930,way,1983317814.0,parking
11847,187714540,way,622031241.0,school
11848,187715807,way,3307388033.0,marketplace
11849,187715837,way,1983472161.0,parking
11850,187720163,way,1983523912.0,parking
11851,187726518,way,1983570509.0,parking
11852,187726524,way,1983570486.0,parking
11853,187727242,way,1983577037.0,parking
11854,187727546,way,1983584964.0,parking
11855,187727547,way,1983584950.0,parking
11856,187727548,way,1983585045.0,parking
11857,187727549,way,1983585025.0,parking
11858,187728243,way,1983607485.0,parking
11859,187730393,way,1983614587.0,parking
11860,187730979,way,1983617418.0,parking
11861,187732340,way,1983622715.0,place_of_worship
11862,187734287,way,1983635604.0,parking
11863,187735159,way,1983641111.0,parking
11864,187771099,way,1984073334.0,place_of_worship
11865,187771103,way,1984073352.0,school
11866,187800577,way,1984390218.0,parking
11867,187800585,way,1984390289.0,parking
11868,187800588,way,1984390366.0,parking
11869,187801979,way,1984401707.0,parking
11870,187801983,way,1984401854.0,parking
11871,187801985,way,1984401538.0,parking
11872,187803597,way,1984414741.0,parking
11873,187803998,way,1984418991.0,parking
11874,187805807,way,1984439264.0,parking
11875,187807843,way,1984449945.0,parking
11876,187810317,way,1984475656.0,parking
11877,187811724,way,1984495645.0,parking
11878,187814233,way,1984550013.0,cafe
11879,187814236,way,1984550172.0,restaurant
11880,187816257,way,1984596612.0,parking
11881,187821011,way,1984690629.0,parking
11882,187821017,way,1984690561.0,place_of_worship
11883,187827593,way,1984711686.0,car_wash
11884,187828012,way,1984715707.0,parking
11885,187828013,way,1984715648.0,parking
11886,187828014,way,1984715681.0,parking
11887,187828015,way,1984715642.0,parking
11888,187831198,way,1984743502.0,parking
11889,187831200,way,1984743454.0,parking
11890,187831205,way,1984743482.0,parking
11891,187831210,way,1984743491.0,parking
11892,187832471,way,1984753053.0,parking
11893,187832473,way,1984753046.0,parking
11894,187832474,way,1984753014.0,parking
11895,187841140,way,1984839530.0,grave_yard
11896,187841142,way,1984839563.0,place_of_worship
11897,187866397,way,1985045978.0,parking
11898,187867163,way,1984631503.0,parking
11899,187867167,way,1985057538.0,parking
11900,187867178,way,1985057681.0,parking
11901,187867181,way,1985057718.0,parking
11902,187867188,way,1985057638.0,parking
11903,187869122,way,1985071369.0,parking
11904,187869380,way,1985072905.0,parking
11905,187874313,way,1985157245.0,parking
11906,187874316,way,1985157383.0,parking
11907,187874320,way,1985157410.0,parking
11908,187874321,way,1985157277.0,parking
11909,187874322,way,1985157254.0,parking
11910,187874326,way,1985157559.0,parking
11911,187874329,way,1985157318.0,parking
11912,187874334,way,1985157368.0,parking
11913,187874335,way,1985157449.0,parking
11914,187874339,way,1985157221.0,parking
11915,187874383,way,1985160344.0,parking
11916,187874773,way,1985169154.0,parking
11917,187874776,way,1985169091.0,parking
11918,187874777,way,1985168939.0,parking
11919,187874779,way,1985168977.0,parking
11920,187874780,way,1985169203.0,parking
11921,187874781,way,1985169048.0,parking
11922,187874788,way,1985168966.0,parking
11923,187886511,way,1985236544.0,place_of_worship
11924,187925991,way,1985618701.0,parking
11925,187928835,way,1985643266.0,parking
11926,187929601,way,1985650484.0,parking
11927,187929606,way,1985650483.0,parking
11928,187930244,way,1985659455.0,parking
11929,187930251,way,1985659449.0,parking
11930,187932507,way,1985674261.0,parking
11931,187935643,way,1985702804.0,parking
11932,187937985,way,1985723002.0,shop
11933,187943316,way,1985768967.0,parking
11934,187960219,way,1985931857.0,parking
11935,187967192,way,1986019726.0,parking
11936,187967240,way,1986019819.0,parking
11937,187993491,way,1986210075.0,place_of_worship
11938,188000858,way,1986268154.0,place_of_worship
11939,188000976,way,1986270067.0,place_of_worship
11940,188000979,way,1986270098.0,parking
11941,188001298,way,1986274286.0,parking
11942,188001945,way,1986280113.0,parking
11943,188003333,way,1986294021.0,parking
11944,188003335,way,1986294040.0,parking
11945,188003488,way,1986296200.0,parking
11946,188071726,way,1986972133.0,pub
11947,188072069,way,1986973963.0,pub
11948,188073816,way,1986987789.0,school
11949,188074050,way,1986990376.0,parking
11950,188074292,way,1986994015.0,swimming_pool
11951,188083013,way,1987065387.0,parking
11952,188091841,way,1987144938.0,pub
11953,188091842,way,1987144910.0,courthouse
11954,188092448,way,3524103852.0,grave_yard
11955,188092457,way,3524103867.0,place_of_worship
11956,188093047,way,1987159397.0,parking
11957,188116279,way,1987369176.0,swimming_pool
11958,188116282,way,1987369204.0,school
11959,188144238,way,1987682941.0,cinema
11960,188252840,way,1988753359.0,public_building
11961,188272564,way,1988932355.0,parking
11962,188275242,way,1988947824.0,parking
11963,188277079,way,1988970696.0,parking
11964,188277971,way,1988976968.0,parking
11965,188279401,way,1988988226.0,parking
11966,188280753,way,1989005517.0,shop
11967,188281489,way,1989012907.0,parking
11968,188283184,way,1989027765.0,parking
11969,188283729,way,1989034596.0,parking
11970,188283973,way,1989036565.0,parking
11971,188284336,way,1989039485.0,parking
11972,188322661,way,1989516098.0,parking
11973,188322700,way,1989516332.0,parking
11974,188323862,way,1989523603.0,parking
11975,188323863,way,1989523558.0,parking
11976,188323865,way,1989523560.0,parking
11977,188323866,way,1989523593.0,parking
11978,188323868,way,1989523590.0,parking
11979,188323871,way,1989523607.0,parking
11980,188323874,way,1989523550.0,parking
11981,188323875,way,1989523562.0,parking
11982,188323877,way,1989523580.0,parking
11983,188323878,way,1989523584.0,parking
11984,188429135,way,1990587737.0,restaurant
11985,188431162,way,1990605977.0,fast_food
11986,188431169,way,1990605992.0,fast_food
11987,188431170,way,1990605960.0,cafe
11988,188440086,way,1990673662.0,parking
11989,188443380,way,1990701875.0,place_of_worship
11990,188476890,way,1991031163.0,place_of_worship
11991,188478838,way,1991045845.0,place_of_worship
11992,188479258,way,1991052100.0,parking
11993,188479272,way,1991051892.0,parking
11994,188479276,way,1991051839.0,parking
11995,188480105,way,1991062855.0,parking
11996,188480113,way,1991062940.0,parking
11997,188481387,way,1991076494.0,parking
11998,188482295,way,2364823880.0,parking
11999,188482359,way,1991089868.0,parking
12000,188482363,way,1991090012.0,library
12001,188483361,way,1991095742.0,parking
12002,188485472,way,1991116112.0,parking
12003,188488689,way,2129518415.0,parking
12004,188493066,way,1991189404.0,parking
12005,188494860,way,1991203080.0,parking
12006,188521452,way,1991525562.0,school
12007,188541083,way,1991661542.0,fuel
12008,188542127,way,1991674699.0,car_rental
12009,188549801,way,1991781374.0,pub
12010,188594376,way,1992174846.0,swimming_pool
12011,188617701,way,1992386332.0,hospital
12012,188639851,way,1992597530.0,parking
12013,188646195,way,1990605967.0,parking
12014,188748715,way,1993694210.0,parking
12015,188749050,way,1993699555.0,parking
12016,188755110,way,1990652806.0,parking
12017,188759097,way,1993811866.0,parking
