,Clusters,Polygon
10,10,"[(0.1407499, 51.4506519), (0.13568, 51.4501923), (0.13241470000000002, 51.4502594), (0.1171917, 51.4550952), (0.11013410000000001, 51.4557758), (0.10716010000000001, 51.4575327), (0.09683760000000001, 51.464008500000006), (0.0919453, 51.466404), (0.09263660000000001, 51.4684911), (0.10306320000000001, 51.4715476), (0.1175905, 51.4750914), (0.1213423, 51.4719325), (0.13478339999999997, 51.4689385), (0.1574564, 51.474380100000005), (0.1659701, 51.4732162), (0.16589179999999998, 51.4727104), (0.1610706, 51.4653223), (0.15866270000000002, 51.4569115), (0.15684720000000002, 51.4540977), (0.1544502, 51.4519692), (0.1407499, 51.4506519)]"
11,11,"[(-0.37512729999999994, 51.4828921), (-0.38418359999999996, 51.48086970000001), (-0.3906257, 51.484373100000006), (-0.3915364, 51.492071), (-0.3978118, 51.497643100000005), (-0.40107750000000003, 51.5069911), (-0.4068114, 51.517098299999994), (-0.40617620000000004, 51.51750620000001), (-0.3958534, 51.515075599999996), (-0.3848594, 51.5144802), (-0.3729223, 51.513502), (-0.3707982, 51.5120168), (-0.36758470000000004, 51.508974), (-0.3659708, 51.4951146), (-0.36871190000000004, 51.4844515), (-0.37512729999999994, 51.4828921)]"
12,12,"[(-0.2862283, 51.509702399999995), (-0.2953188, 51.50709129999999), (-0.30501100000000003, 51.507954), (-0.30965390000000004, 51.5090619), (-0.31519050000000004, 51.5095768), (-0.3257604, 51.5023434), (-0.3241091, 51.496444200000006), (-0.33009320000000003, 51.4937743), (-0.333285, 51.4985051), (-0.3466927, 51.5007546), (-0.3594185, 51.50102929999999), (-0.3654813, 51.50001760000001), (-0.3684458, 51.5000984), (-0.35885890000000004, 51.510315999999996), (-0.34745640000000005, 51.5137989), (-0.3185907, 51.528523299999996), (-0.3122177, 51.537988299999995), (-0.30637420000000004, 51.5434163), (-0.3037922, 51.5448672), (-0.2971565, 51.54705379999999), (-0.2814202, 51.5421994), (-0.2776857, 51.5412726), (-0.27512459999999994, 51.5350634), (-0.2825897, 51.530086299999994), (-0.2836303, 51.521139399999996), (-0.2862283, 51.509702399999995)]"
13,13,"[(-0.3141682, 51.5732527), (-0.3180356, 51.564832200000005), (-0.33364309999999997, 51.5690218), (-0.3400267, 51.5703327), (-0.3588965, 51.5752911), (-0.3652712, 51.5876624), (-0.3662982, 51.5907693), (-0.3656966, 51.5919205), (-0.33813059999999995, 51.5999249), (-0.3362389, 51.599437200000004), (-0.32619440000000005, 51.5940286), (-0.3070869, 51.60055429999999), (-0.3025822, 51.59938629999999), (-0.2941862, 51.5962643), (-0.2974968, 51.5835119), (-0.2999304, 51.582838200000005), (-0.30613759999999995, 51.582155900000004), (-0.3141682, 51.5732527)]"
14,14,"[(-0.3545813, 51.5134549), (-0.36280619999999997, 51.5132831), (-0.3749807, 51.517627399999995), (-0.3799396, 51.516556099999995), (-0.38815279999999996, 51.5199626), (-0.3995597, 51.519498), (-0.40410440000000003, 51.520836100000004), (-0.393206, 51.5264519), (-0.38854970000000005, 51.52655479999999), (-0.37287, 51.5239191), (-0.3584912, 51.5304276), (-0.35601209999999994, 51.535656700000004), (-0.3545939, 51.538678999999995), (-0.3477248, 51.5432557), (-0.3451618, 51.5432302), (-0.34177979999999997, 51.542985200000004), (-0.3334999, 51.5419105), (-0.3192007, 51.536095), (-0.3183959, 51.5346442), (-0.3188847, 51.5338273), (-0.3287406, 51.5233745), (-0.3358893, 51.516062299999994), (-0.33756379999999997, 51.51440170000001), (-0.3545813, 51.5134549)]"
15,15,"[(-0.39534240000000004, 51.530516999999996), (-0.3985278, 51.5276307), (-0.399425, 51.5281448), (-0.40562170000000003, 51.5351957), (-0.4033089, 51.5366112), (-0.3906422, 51.5412064), (-0.3822897, 51.5527533), (-0.3731775, 51.5618016), (-0.3644695, 51.5711626), (-0.35861950000000004, 51.5720946), (-0.3441105, 51.5715291), (-0.3399816, 51.569568700000005), (-0.33779580000000003, 51.5672075), (-0.34746950000000004, 51.557709700000004), (-0.353693, 51.554700200000006), (-0.36000959999999993, 51.5393971), (-0.3610761, 51.535445), (-0.36450770000000005, 51.531490500000004), (-0.3786218, 51.528704), (-0.3820873, 51.530905100000005), (-0.39534240000000004, 51.530516999999996)]"
16,16,"[(0.10691700000000001, 51.5330098), (0.1056087, 51.533396100000004), (0.10342069999999999, 51.543658799999996), (0.1065232, 51.5563461), (0.09538869999999999, 51.5708383), (0.0838715, 51.5728765), (0.0812798, 51.5743767), (0.0819867, 51.579231), (0.08687610000000001, 51.581084999999995), (0.09806139999999999, 51.57906679999999), (0.112598, 51.5812479), (0.11859249999999999, 51.5841912), (0.12014010000000001, 51.583363299999995), (0.12051680000000001, 51.579009899999996), (0.12528910000000001, 51.5697301), (0.1329344, 51.5608219), (0.1431967, 51.5658531), (0.149477, 51.5679021), (0.1588565, 51.565890700000004), (0.1682174, 51.561995), (0.1719021, 51.5602411), (0.1714697, 51.5484309), (0.17598629999999998, 51.542094899999995), (0.17587650000000002, 51.5404659), (0.1564099, 51.527891499999996), (0.15419229999999998, 51.5273479), (0.142463, 51.5300122), (0.1321711, 51.5294042), (0.12357670000000001, 51.5313004), (0.11297650000000001, 51.5321066), (0.10691700000000001, 51.5330098)]"
17,17,"[(0.19250799999999998, 51.561621), (0.1762282, 51.5629699), (0.1715722, 51.5654235), (0.1735568, 51.5789045), (0.1785415, 51.5845408), (0.1913466, 51.5861124), (0.2005108, 51.59125), (0.2015475, 51.5876258), (0.215685, 51.5837114), (0.21997729999999996, 51.58517020000001), (0.23112270000000004, 51.5814278), (0.2374688, 51.581331799999994), (0.2403936, 51.57982979999999), (0.2509405, 51.558761100000005), (0.254171, 51.558545), (0.2623866, 51.5561311), (0.25444659999999997, 51.556101), (0.24762240000000002, 51.552325), (0.24299120000000002, 51.5497778), (0.2370196, 51.547905), (0.2279264, 51.5487329), (0.2271453, 51.549158), (0.2092712, 51.5580912), (0.20675439999999998, 51.5621003), (0.19250799999999998, 51.561621)]"
18,18,"[(-0.22602339999999999, 51.3941253), (-0.23090549999999999, 51.3967875), (-0.2358965, 51.3981749), (-0.24689610000000003, 51.3949671), (-0.263698, 51.3782033), (-0.268226, 51.3750888), (-0.278933, 51.375633799999996), (-0.2892006, 51.379512), (-0.29137529999999995, 51.3725513), (-0.30642220000000003, 51.3670754), (-0.3100315, 51.3604903), (-0.3166103, 51.3614814), (-0.317181, 51.3648258), (-0.3168848, 51.3661451), (-0.3085966, 51.3722562), (-0.30518690000000004, 51.3806096), (-0.3148106, 51.3888223), (-0.3190886, 51.3960986), (-0.31105459999999996, 51.3986704), (-0.31719509999999995, 51.4120184), (-0.3243183, 51.4220102), (-0.3227565, 51.42317979999999), (-0.28141220000000006, 51.4341034), (-0.26886059999999995, 51.432505400000004), (-0.25464570000000003, 51.4297982), (-0.2431719, 51.4155737), (-0.24055810000000002, 51.4228592), (-0.23036210000000001, 51.4179658), (-0.21943160000000003, 51.4113179), (-0.2200879, 51.4012338), (-0.22602339999999999, 51.3941253)]"
19,19,"[(-0.1776279, 51.6443512), (-0.1790197, 51.6450222), (-0.18037910000000001, 51.646546799999996), (-0.1806418, 51.6559814), (-0.1778425, 51.6583859), (-0.1699836, 51.656322499999995), (-0.15348299999999998, 51.6572311), (-0.1498175, 51.657039700000006), (-0.1325759, 51.6486279), (-0.1324457, 51.6476065), (-0.1372794, 51.64045720000001), (-0.1457191, 51.6404354), (-0.1673208, 51.6460286), (-0.1776279, 51.6443512)]"
