,id,lat,lon,amenity,type
225,3580324093,51.5134509,-0.0862909,clothes,Shopping
239,3632721825,51.5176812,-0.0783184,clothes,Shopping
241,3636959726,51.518173,-0.0802503,clothes,Shopping
254,3702963811,51.5170672,-0.0834063,clothes,Shopping
264,3735867650,51.5180081,-0.0791939,clothes,Shopping
268,3748264404,51.5181518,-0.0844542,clothes,Shopping
269,3748264406,51.5187644,-0.0876717,clothes,Shopping
270,3748265229,51.5189162,-0.0872342,clothes,Shopping
271,3748265230,51.5188203,-0.0876396,clothes,Shopping
273,3748265664,51.5180959,-0.0843181,clothes,Shopping
288,4136278301,51.5136679,-0.0863663,clothes,Shopping
290,4317140696,51.513813,-0.091854,clothes,Shopping
293,4317179189,51.513775,-0.091722,clothes,Shopping
294,4348232603,51.5182972,-0.0850575,clothes,Shopping
299,4402594985,51.5119562,-0.0827756,clothes,Shopping
300,4402602484,51.5118902,-0.082041,clothes,Shopping
311,4501841789,51.5170943,-0.0889302,clothes,Shopping
312,4501844425,51.5170108,-0.0889586,clothes,Shopping
314,4513031544,51.5178438,-0.0845611,clothes,Shopping
315,4513034776,51.5177618,-0.084714,clothes,Shopping
316,4532363024,51.5141902,-0.1029477,clothes,Shopping
317,4534328536,51.5134954,-0.0847709,clothes,Shopping
322,4566433452,51.5124295,-0.0835117,clothes,Shopping
324,4566874103,51.512467,-0.0838121,clothes,Shopping
327,4582595092,51.5132554,-0.0865402,clothes,Shopping
338,4683826096,51.5161071,-0.1083388,clothes,Shopping
339,4683826099,51.5158831,-0.1084181,clothes,Shopping
349,4746785642,51.513789,-0.0917806,clothes,Shopping
351,4789950321,51.5170736,-0.0943803,computer,Shopping
64,972225487,51.5132017,-0.0875291,confectionery,Shopping
65,1142052875,51.5189424,-0.0881746,confectionery,Shopping
234,3605043349,51.5171283,-0.0822739,confectionery,Shopping
280,3794341943,51.5175976,-0.0810747,confectionery,Shopping
0,26659113,51.5175867,-0.1087596,convenience,Shopping
1,295975600,51.5126226,-0.087495,convenience,Shopping
4,306136163,51.5149426,-0.0853103,convenience,Shopping
9,390073174,51.520574,-0.0977172,convenience,Shopping
23,479151681,51.5139856,-0.1004245,convenience,Shopping
29,609956569,51.5139656,-0.1040765,convenience,Shopping
36,687648330,51.510842,-0.075196,convenience,Shopping
50,748087934,51.5138595,-0.1021638,convenience,Shopping
54,766467563,51.5132123,-0.1013159,convenience,Shopping
58,833668418,51.5125291,-0.1040204,convenience,Shopping
67,1535778603,51.5134804,-0.0842919,convenience,Shopping
68,1547180571,51.5115785,-0.0813752,convenience,Shopping
70,1586864010,51.5144219,-0.0769556,convenience,Shopping
103,2489364566,51.5121671,-0.0942146,convenience,Shopping
144,2925607547,51.5100098,-0.0866773,convenience,Shopping
153,2990710234,51.5210037,-0.0790371,convenience,Shopping
172,3204565206,51.5170727,-0.0818397,convenience,Shopping
217,3356875069,51.515233,-0.0970003,convenience,Shopping
218,3356884658,51.5147552,-0.097374,convenience,Shopping
226,3582625419,51.5113193,-0.0897581,convenience,Shopping
227,3582629695,51.5111924,-0.088921,convenience,Shopping
278,3788896806,51.5120941,-0.0903697,convenience,Shopping
340,4683826101,51.5160044,-0.1080152,convenience,Shopping
347,4718553522,51.5115946,-0.0791547,convenience,Shopping
15,471488494,51.5117298,-0.0818238,cosmetics,Shopping
232,3605041076,51.5171302,-0.0822085,cosmetics,Shopping
263,3735864536,51.5179683,-0.0789923,cosmetics,Shopping
313,4513027306,51.5180655,-0.084309,cosmetics,Shopping
330,4599301604,51.5114585,-0.0890081,cosmetics,Shopping
345,4713360280,51.5173988,-0.0829766,cosmetics,Shopping
2,296610106,51.5133665,-0.0925606,craft,Shopping
3,296610596,51.5119197,-0.0846722,department_store,Shopping
28,577559481,51.5185946,-0.0792994,department_store,Shopping
12,471488483,51.5122096,-0.0825119,dry_cleaning,Services
53,748115552,51.5139636,-0.1036904,dry_cleaning,Services
74,1678155360,51.5125631,-0.0938178,dry_cleaning,Services
78,1689475286,51.5111196,-0.0791407,dry_cleaning,Services
161,3144090204,51.5157351,-0.0781205,dry_cleaning,Services
246,3656092747,51.5225228,-0.0974913,dry_cleaning,Services
260,3735863287,51.5180467,-0.079447,dry_cleaning,Services
275,3751791428,51.5140531,-0.0747774,dry_cleaning,Services
304,4428609657,51.5133036,-0.0897457,dry_cleaning,Services
89,1763600535,51.5184235,-0.0855112,electronics,Shopping
99,1835329125,51.5150576,-0.0970331,electronics,Shopping
326,4576855306,51.5104782,-0.0838607,electronics,Shopping
77,1685280996,51.5184017,-0.0912927,estate_agent,Services
108,2554411176,51.512196,-0.0851126,estate_agent,Services
214,3340683301,51.5142724,-0.0959812,fashion,Shopping
321,4566430653,51.512599,-0.083408,fashion,Shopping
86,1753230414,51.5176959,-0.0821418,florist,Shopping
229,3589867271,51.5171283,-0.0824126,florist,Shopping
22,479121690,51.5136766,-0.1011574,gift,Shopping
84,1719875219,51.5126345,-0.0937838,gift,Shopping
102,2313255279,51.509742,-0.080001,gift,Shopping
296,4379801320,51.5139247,-0.101321,gift,Shopping
334,4621845441,51.5109579,-0.087344,gift,Shopping
