,id,lat,lon,amenity,classification,tags
6964,216874859,51.4790273,-0.2466131,recreation_ground,,"{u'name': u'Suffolk Road Recreation Ground', u'leisure': u'recreation_ground'}"
6965,216875195,51.4778446,-0.2473292,sports_centre,,"{u'name': u'Barnes Sports Club', u'addr:postcode': u'SW13 9QL', u'addr:housename': u'The Club House', u'leisure': u'sports_centre', u'fhrs:id': u'354028', u'addr:street': u'Lonsdale Road'}"
6966,216876054,51.4685382,-0.2481177,recreation_ground,,"{u'name': u'Vine Road Recreation Ground', u'leisure': u'recreation_ground'}"
6967,216878194,51.4716183,-0.2351682,sports_centre,,"{u'website': u'http://www.rockslane.co.uk/', u'addr:postcode': u'SW13 0DG', u'name': u'Rocks Lane Sports Centre', u'leisure': u'sports_centre'}"
6968,216963109,51.4855943,-0.0972358,garden,,{u'leisure': u'garden'}
6969,216991164,51.4042233,-0.1873024,playground,,"{u'note': u'Rough area; improve when better imagery available', u'name': u'Natural Play Area', u'leisure': u'playground'}"
6970,216991168,51.4022923,-0.1869086,garden,,"{u'name': u'Rose Garden', u'leisure': u'garden'}"
6971,216991231,51.4032253,-0.1901178,garden,,{u'leisure': u'garden'}
6972,217323584,51.5779878,0.0438366,playground,,"{u'source': u'survey', u'leisure': u'playground'}"
6973,217364422,51.5350084,-0.1158605,park,,{u'leisure': u'park'}
6974,217463004,51.5814517,-0.0069588,garden,,"{u'source': u'survey', u'name': u'Henry Maynard Junior School Community Garden', u'leisure': u'garden'}"
6975,217472232,51.599009,-0.0846303,playground,,"{u'source': u'survey', u'leisure': u'playground'}"
6976,217475590,51.5962909,-0.0855136,pitch,,"{u'source': u'survey', u'leisure': u'pitch'}"
6977,217475592,51.5931873,-0.0875768,playground,,"{u'source': u'survey', u'leisure': u'playground'}"
6978,217475595,51.5956953,-0.0855162,pitch,,"{u'source': u'survey', u'leisure': u'pitch', u'barrier': u'fence'}"
6979,217475600,51.5935442,-0.0877829,paddling_pool,,"{u'source': u'survey', u'natural': u'water', u'leisure': u'paddling_pool'}"
6980,217475604,51.5949028,-0.0852915,pitch,,"{u'source': u'survey', u'sport': u'bmx', u'leisure': u'pitch'}"
6981,217475606,51.595342,-0.0860974,pitch,,"{u'source': u'survey', u'sport': u'skateboard', u'leisure': u'pitch'}"
6982,217475609,51.5969894,-0.0855436,pitch,,"{u'source': u'survey', u'sport': u'soccer', u'leisure': u'pitch'}"
6983,217477506,51.581966,-0.0896125,playground,,"{u'source': u'survey', u'leisure': u'playground'}"
6984,217478525,51.5829399,-0.0696557,pitch,,"{u'source': u'survey', u'sport': u'basketball', u'leisure': u'pitch'}"
6985,217519024,51.586406,-0.0042166,playground,,{u'leisure': u'playground'}
6986,217565809,51.5914984,-0.0022031,park,,{u'leisure': u'park'}
6987,217748031,51.4140276,-0.0664397,pitch,,{u'leisure': u'pitch'}
6988,217779584,51.5887578,-0.0012135,pitch,,{u'leisure': u'pitch'}
6989,217792715,51.5886826,-0.0024208,playground,,{u'leisure': u'playground'}
6990,217792718,51.587684,-0.0021225,playground,,{u'leisure': u'playground'}
6991,217865457,51.4564831,-0.1517648,pitch,,"{u'surface': u'gravel', u'leisure': u'pitch'}"
6992,218129203,51.5800677,-0.150801,playground,,{u'leisure': u'playground'}
6993,218259658,51.4972751,0.0132937,playground,,"{u'leisure': u'playground', u'area': u'yes'}"
6994,218273454,51.5941347,-0.0028967,pitch,,{u'leisure': u'pitch'}
6995,218273455,51.594498,-0.0030018,pitch,,{u'leisure': u'pitch'}
6996,218499151,51.3070328,-0.0931538,common,,"{u'source': u'information board', u'name': u'Kenley Common', u'leisure': u'common'}"
6997,218644900,51.4884646,-0.2345578,pitch,,"{u'access': u'private', u'sport': u'tennis', u'leisure': u'pitch'}"
6998,218892441,51.5463383,-0.3224014,golf_course,,"{u'name': u'Horsenden Hill Golf Course', u'leisure': u'golf_course'}"
6999,218949580,51.3701155,-0.1203183,park,,"{u'name': u'Waddon Ponds', u'leisure': u'park'}"
7000,218949591,51.3710002,-0.1208588,playground,,"{u'source': u'survey', u'leisure': u'playground', u'barrier': u'fence'}"
7001,219014574,51.4397616,-0.352553,pitch,,"{u'source': u'Bing', u'sport': u'tennis', u'leisure': u'pitch'}"
7002,219014575,51.4354076,-0.3717086,pitch,,"{u'source': u'Bing', u'sport': u'tennis', u'leisure': u'pitch'}"
7003,219271444,51.5055017,-0.310235,pitch,,{u'leisure': u'pitch'}
7004,219379055,51.509963,-0.321181,playground,,{u'leisure': u'playground'}
