,id,center,lat,lon,amenity,classification,tags
3077,198304876,"{u'lat': 51.5479475, u'lon': -0.0751137}",51.5479475,-0.0751137,variety_store,,"{u'building': u'retail', u'shop': u'variety_store', u'name': u'Poundland', u'wheelchair:description': u'level entrance but passage ways are too narrow to navigate', u'wheelchair': u'yes', u'addr:street': u'Kingsland High Street'}"
3078,198354752,"{u'lat': 51.3737199, u'lon': -0.1048375}",51.3737199,-0.1048375,books,,"{u'addr:housenumber': u'101', u'building': u'retail', u'name': u'A Place In Space', u'shop': u'books', u'source': u'survey', u'books': u'comic', u'addr:street': u'Church Street'}"
3079,198354753,"{u'lat': 51.3734178, u'lon': -0.1039832}",51.3734178,-0.1039832,hairdresser,,"{u'addr:housenumber': u'79', u'building': u'retail', u'name': u""Abi's Barbers"", u'shop': u'hairdresser', u'addr:street': u'Church Street'}"
3080,198354754,"{u'lat': 51.3730223, u'lon': -0.1033532}",51.3730223,-0.1033532,supermarket,,"{u'addr:housenumber': u'53-57', u'building': u'retail', u'name': u'Argos', u'shop': u'supermarket', u'source': u'TMJ-Mobile_0.6.1', u'addr:street': u'Church Street'}"
3081,198354756,"{u'lat': 51.3735975, u'lon': -0.1043972}",51.3735975,-0.1043972,bed,,"{u'addr:housenumber': u'85-87', u'building': u'retail', u'name': u'Beaumont Beds', u'shop': u'bed', u'source': u'survey', u'addr:street': u'Church Street'}"
3082,198354758,"{u'lat': 51.3731557, u'lon': -0.103387}",51.3731557,-0.103387,clothes,,"{u'addr:housenumber': u'61-63', u'building': u'retail', u'name': u'Bon Marche', u'shop': u'clothes', u'addr:street': u'Church Street'}"
3083,198354761,"{u'lat': 51.3734057, u'lon': -0.1019103}",51.3734057,-0.1019103,mobile_phone,,"{u'addr:housenumber': u'21', u'building': u'retail', u'name': u'UK Mobile', u'shop': u'mobile_phone', u'source': u'survey', u'addr:street': u'Church Street'}"
3084,198354762,"{u'lat': 51.3736308, u'lon': -0.104501}",51.3736308,-0.104501,doityourself,,"{u'addr:housenumber': u'89', u'building': u'retail', u'name': u'Croydon DIY', u'shop': u'doityourself', u'source': u'survey', u'addr:street': u'Church Street'}"
3085,198354764,"{u'lat': 51.3738137, u'lon': -0.1037837}",51.3738137,-0.1037837,furniture,,"{u'addr:housenumber': u'74', u'building': u'retail', u'name': u'Croydon Furniture Centre', u'shop': u'furniture', u'source': u'survey', u'addr:street': u'Church Street'}"
3086,198354765,"{u'lat': 51.3733789, u'lon': -0.1021515}",51.3733789,-0.1021515,mobile_phone,,"{u'addr:housenumber': u'29', u'building': u'retail', u'name': u'Croydon Mobile Zone', u'shop': u'mobile_phone', u'addr:street': u'Church Street'}"
