id,lat,lon,amenity,type
592642006,51.510472,-0.0870841,bar,Food and Drinks
595709481,51.51878,-0.1026986,pub,Food and Drinks
595709974,51.5180475,-0.1048509,parking,Transportation
606768248,51.5139899,-0.1028814,cafe,Food and Drinks
609782327,51.5124652,-0.1039466,bank,Services
609954947,51.5125955,-0.104019,cafe,Food and Drinks
616343331,51.5124315,-0.0988156,restaurant,Food and Drinks
622062081,51.511254,-0.089658,pharmacy,Shopping
640163796,51.5171828,-0.0970164,cafe,Food and Drinks
643312445,51.5178546,-0.1134709,cafe,Food and Drinks
650341168,51.515752,-0.0796774,fast_food,Food and Drinks
662260045,51.518173,-0.08476,cafe,Food and Drinks
664966147,51.5185303,-0.083993,fast_food,Food and Drinks
666475908,51.5135167,-0.0938786,bar,Food and Drinks
666475916,51.5138693,-0.0935309,cafe,Food and Drinks
666475917,51.5142771,-0.0942797,bank,Services
666475921,51.5144535,-0.0938096,restaurant,Food and Drinks
666475927,51.5138481,-0.0931721,cafe,Food and Drinks
666749182,51.510913,-0.074708,pub,Food and Drinks
666749188,51.5115013,-0.0751203,cafe,Food and Drinks
666749200,51.5117122,-0.0754908,cafe,Food and Drinks
666918951,51.5121747,-0.0757376,pub,Food and Drinks
666918952,51.5118709,-0.0756786,bar,Food and Drinks
666920103,51.512367,-0.0754101,bar,Food and Drinks
666920299,51.5135927,-0.0761133,cafe,Food and Drinks
666920731,51.513145,-0.075576,restaurant,Food and Drinks
666920753,51.513777,-0.0755619,fast_food,Food and Drinks
667454570,51.510474,-0.074603,cafe,Food and Drinks
668074037,51.5115174,-0.0757073,cafe,Food and Drinks
668074193,51.5115315,-0.0754346,restaurant,Food and Drinks
668806548,51.5135654,-0.0762155,cafe,Food and Drinks
668820028,51.512073,-0.079772,cafe,Food and Drinks
668820569,51.511976,-0.079927,cafe,Food and Drinks
668842083,51.5122258,-0.0793038,cafe,Food and Drinks
668842428,51.512553,-0.079109,cafe,Food and Drinks
670101887,51.5147054,-0.0810101,cafe,Food and Drinks
674954061,51.5112939,-0.0772692,pub,Food and Drinks
