id,lat,lon,amenity,type
4668146656,51.5127386,-0.1389053,restaurant,Food and Drinks
4668657495,51.5739999,-0.2008455,restaurant,Food and Drinks
4668939414,51.5064596,-0.0986518,hostel,Services
4669790392,51.467566,-0.2201083,cafe,Food and Drinks
4669839193,51.49,-0.191089,nightclub,Food and Drinks
4670305401,51.3679959,-0.2001972,fast_food,Food and Drinks
4670630390,51.5243196,-0.1887869,pub,Food and Drinks
4670675589,51.5557562,-0.1775216,cafe,Food and Drinks
4670735389,51.5184205,-0.1556243,books,Shopping
4672310317,51.4611176,-0.1670621,sports,Shopping
4673478989,51.5239232,-0.1270163,hotel,Services
4676093419,51.5434336,-0.0075959,cinema,Entertainment
4676760689,51.4923542,-0.1393088,supermarket,Shopping
4677019988,51.4375642,-0.158405,school,Education
4677067934,51.4767673,-0.1927889,restaurant,Food and Drinks
4677086112,51.4762259,-0.1932822,bicycle_rental,Services
4677106589,51.4794173,-0.1957414,bicycle_rental,Services
4677109172,51.479943,-0.1941318,bicycle_rental,Services
4677113221,51.4835863,-0.202047,bicycle_rental,Services
4677116099,51.4839033,-0.1975594,bicycle_rental,Services
4677251399,51.5446647,-0.2014498,fast_food,Food and Drinks
4677251726,51.5465049,-0.1903259,hairdresser,Services
4677251727,51.5465015,-0.1904104,cafe,Food and Drinks
4677251728,51.5464949,-0.1905794,laundry,Services
4677251729,51.5464982,-0.1904949,musical_instrument,Shopping
4677251784,51.543287,-0.1792349,beauty,Shopping
4677251786,51.5431929,-0.179281,beauty,Shopping
4677251787,51.5431459,-0.1793041,cafe,Food and Drinks
4677251792,51.5429674,-0.1793953,electronics,Shopping
4677251796,51.5427288,-0.179516,furniture,Shopping
4677251797,51.5426404,-0.1795643,restaurant,Food and Drinks
4677251801,51.5424311,-0.1796837,restaurant,Food and Drinks
4677251804,51.5423227,-0.1797374,fitness_centre,Health
4677251810,51.5421408,-0.1798366,bookmaker,Shopping
4677347890,51.5091331,-0.1381146,restaurant,Food and Drinks
4677707800,51.6033175,0.0020115,convenience,Shopping
4678163355,51.5871727,-0.0608271,cafe,Food and Drinks
4678882807,51.589423,-0.1108577,garden,Other
4679234396,51.5225588,-0.1565682,cafe,Food and Drinks
4680088992,51.5143287,-0.1257666,sports,Shopping
4680953863,51.509822,-0.1288536,restaurant,Food and Drinks
4680953864,51.5098089,-0.1287629,restaurant,Food and Drinks
4680953865,51.5098342,-0.128967,restaurant,Food and Drinks
4680953866,51.5098496,-0.1291004,restaurant,Food and Drinks
4680953867,51.5098668,-0.1292845,restaurant,Food and Drinks
4680953869,51.5098801,-0.1293978,restaurant,Food and Drinks
4681022535,51.5365292,0.0523898,optician,Health
4681022536,51.5909695,0.0829174,optician,Health
4681022537,51.5933881,0.0243805,cafe,Food and Drinks
4681022538,51.5587129,0.0715932,pharmacy,Shopping
4681022563,51.5594158,0.0746118,optician,Health
4681022564,51.53448,0.1105832,fast_food,Food and Drinks
4681022565,51.534523,0.1106166,cafe,Food and Drinks
4681022566,51.5346854,0.1107374,fast_food,Food and Drinks
4681022569,51.5350807,0.1110314,supermarket,Shopping
4681022570,51.5351359,0.1110723,fast_food,Food and Drinks
4681022571,51.5347862,0.1108127,pharmacy,Shopping
4681022572,51.5593529,0.0745649,pharmacy,Shopping
4681538885,51.5828354,-0.0239598,pharmacy,Shopping
4681538886,51.571484,0.013787,butcher,Shopping
4681538887,51.617483,-0.0173757,pharmacy,Shopping
4681550989,51.6314495,0.0038009,dentist,Health
4681575444,51.5902072,-0.3813362,childcare,Services
4681575445,51.5669743,-0.3630229,clinic,Health
4681575446,51.6054861,-0.3797628,dentist,Health
4681575451,51.5947915,-0.3837251,pharmacy,Shopping
4681575452,51.5763586,-0.3708745,bank,services
4681575453,51.5945215,-0.3832554,bank,services
4681575454,51.5987394,-0.393304,veterinary,Services
4681575455,51.5859918,-0.3816434,fast_food,Food and Drinks
4681586312,51.6178052,-0.3095469,veterinary,Services
4681592589,51.4678183,-0.3623674,library,Education
4681592703,51.5029749,-0.0174926,optician,Health
4681692285,51.5465556,-0.0548781,optician,Health
4681785288,51.5936769,-0.1080688,clothes,Shopping
4682056604,51.5590788,-0.1785543,cafe,Food and Drinks
4682088111,51.6515749,-0.0804775,optician,Health
4682088112,51.6526207,-0.0546587,cafe,Food and Drinks
4682088113,51.6261763,-0.0564964,pharmacy,Shopping
4682088114,51.6176518,-0.1088956,optician,Health
4682088115,51.6181598,-0.1086421,pharmacy,Shopping
4682171290,51.6129218,0.1150988,seafood,Shopping
4682181792,51.5914896,0.0829234,restaurant,Food and Drinks
4682459836,51.3663292,-0.1673205,pub,Food and Drinks
4682571961,51.5400656,-0.0208442,cafe,Food and Drinks
4683294964,51.521601,0.0020542,craft,Shopping
4683294965,51.5213773,0.0025799,electronics,Shopping
4683294966,51.5215075,0.0033738,electronics,Shopping
4683294967,51.5210769,0.0034811,craft,Shopping
4683294970,51.5207027,0.0025654,craft,Shopping
4683475719,51.455425,-0.1649484,clothes,Shopping
4684286773,51.5443553,-0.0262285,bicycle,Shopping
4684510836,51.3950568,-0.1122103,chalet,Services
4685045290,51.5456173,-0.1426132,cafe,Food and Drinks
4685641267,51.4988293,-0.0809603,restaurant,Food and Drinks
4685840913,51.5443467,-0.0263138,restaurant,Food and Drinks
4685840915,51.5443868,-0.0259531,furniture,Shopping
4685849441,51.54428,-0.0268221,cafe,Food and Drinks
4685849442,51.5442508,-0.0270597,restaurant,Food and Drinks
4685873792,51.54422,-0.0274658,furniture,Shopping
4685931149,51.5459147,-0.0234962,playground,Entertainment
4686048716,51.5390286,-0.022772,seafood,Shopping
4686574267,51.5593994,-0.178351,hospital,Health
4686588217,51.5593311,-0.178477,restaurant,Food and Drinks
4687208617,51.6055109,-0.0163708,convenience,Shopping
4687253747,51.5781824,-0.121847,library,Education
4687740384,51.5116328,-0.1311847,restaurant,Food and Drinks
4687847185,51.57682,-0.1455121,building_supplies,Shopping
4687847186,51.5768575,-0.1455939,hairdresser,Services
4687847188,51.5769092,-0.1457199,fitness_centre,Health
4687847190,51.5769634,-0.1458527,cafe,Food and Drinks
4687847191,51.5769908,-0.1459219,hardware,Shopping
4687847193,51.5770533,-0.146052,restaurant,Food and Drinks
4687847194,51.5770808,-0.1461231,hairdresser,Services
4687847196,51.5771425,-0.1462693,beauty,Shopping
4687847197,51.5771708,-0.1463323,estate_agent,Services
4687847198,51.5772083,-0.1464087,cafe,Food and Drinks
4687847199,51.5772475,-0.1465084,charity,Shopping
4687847200,51.5772966,-0.1466086,charity,Shopping
4687847201,51.57733,-0.146677,laundry,Services
4687847202,51.5773566,-0.1467414,bathroom_furnishing,Shopping
4687847203,51.5773858,-0.1468111,deli,Food and Drinks
4688449208,51.5198744,-0.0834303,fast_food,Food and Drinks
4689036195,51.5173977,-0.0696236,doctors,Health
4689037489,51.4999674,-0.1963444,outdoor,Shopping
