,predictor,slope,intercept,r_value,p_value,std_err
0,access,0.0756586841567,1.96287569145,0.362393712875,0.000760711310487,0.0216203754097
1,income,3.12145953353e-06,2.08530199459,0.0835935536463,0.452447945579,4.13446848526e-06
2,job_res_ratio,0.0546998296281,2.14995831477,0.341283782203,0.00159148693995,0.0167393013505
