id,lat,lon,amenity
21663357,51.5791119,-0.341838,yes
25544124,51.5111215,-0.1251645,supermarket
25744394,51.5620768,-0.1494073,supermarket
25813308,51.5453412,-0.1333414,supermarket
25962160,51.5513131,-0.0752367,dry_cleaning
26046046,51.5561745,-0.0556147,dry_cleaning
26546080,51.494461,-0.099656,supermarket
26618618,51.53781,-0.1420408,supermarket
26659113,51.5175867,-0.1087596,convenience
26817795,51.5228462,-0.1588341,supermarket
26819169,51.5167906,-0.1875618,supermarket
26975310,51.5456205,-0.0810071,beverages
26980206,51.6637267,-0.0861793,supermarket
27408324,51.5131046,-0.3040787,department_store
27504196,51.5133725,-0.159878,supermarket
28885878,51.5159128,0.2892767,car_repair
30441129,51.4665741,-0.2922289,bicycle
30553183,51.4779987,-0.2862935,newsagent
30584447,51.4773285,-0.2861863,gift
31313902,51.5143487,-0.1505076,fashion
31313906,51.5146051,-0.1488168,Internet Cafe
31472695,51.551496,-0.3197216,supermarket
34578754,51.5222664,-0.1722721,supermarket
34779859,51.5033798,-0.3177102,butcher
36214440,51.5618259,-0.3730943,convenience
36223764,51.5517504,-0.3503321,convenience
36312259,51.3651976,-0.1610793,supermarket
38935912,51.4144257,-0.3006861,bicycle
42220032,51.5362191,-0.3450491,convenience
45265874,51.6066678,0.2184595,supermarket
45273747,51.5938205,0.2343688,bakery
45273871,51.5934086,0.2328865,travel_agency
45274552,51.5935962,0.2333935,supermarket
45284148,51.5954721,0.2195656,doityourself
49233948,51.6495733,-0.1714391,supermarket
49311845,51.6559569,-0.2039214,supermarket
50445260,51.5246812,-0.071913,bicycle
54837344,51.514142,-0.056489,supermarket
57215757,51.539616,-0.0558389,supermarket
60011421,51.5220198,-0.046224,bookmaker
60093128,51.5821551,0.187085,supermarket
60661040,51.5233233,-0.1244579,supermarket
64811055,51.4429141,-0.0271434,bicycle
84775467,51.5131001,0.2940095,garden_centre
130223650,51.4152643,-0.1814285,supermarket
132686936,51.2879662,-0.0894631,supermarket
132978684,51.4627777,-0.1238798,convenience
133191330,51.5220421,-0.046053,supermarket
137790430,51.5216313,-0.0452547,convenience
137790992,51.5214658,-0.0451002,supermarket
137791309,51.5213643,-0.0450315,chemist
137791776,51.5212041,-0.0449028,convenience
140697749,51.4982027,-0.13528,bakery
142335830,51.5175163,-0.0621537,convenience
142380255,51.5237562,-0.0638822,convenience
142380293,51.5237612,-0.0637454,convenience
142436112,51.5230083,-0.0545278,convenience
142528191,51.5210289,-0.0496592,doityourself
144122753,51.5707328,-0.133333,convenience
144124308,51.570569,-0.1331014,convenience
144128316,51.5701349,-0.132453,car_repair
146482709,51.4641767,-0.2154534,bicycle
148759067,51.5251733,-0.0491985,convenience
149043228,51.4112778,0.0141882,supermarket
158855400,51.5733837,-0.1295767,car_repair
160276068,51.5232421,-0.0330296,convenience
160567768,51.5249669,-0.0354896,supermarket
169373136,51.4991055,-0.1385776,dry_cleaning
179881936,51.5169134,-0.0462807,convenience
187280740,51.4429674,-0.1669513,convenience
203724940,51.5073322,-0.0548708,convenience
213686196,51.5197464,-0.2257391,supermarket
224091560,51.4693416,0.0246614,convenience
224091569,51.4637155,0.0285985,hardware
224146278,51.4737726,-0.0204595,car_repair
225978498,51.5923657,-0.2338397,bicycle
225987556,51.6120485,-0.1723552,bicycle
229546758,51.4797172,0.3275997,computer
232337000,51.5435208,-0.1511852,supermarket
240631275,51.506849,-0.123272,bicycle
242062212,51.6510215,0.2654449,car_repair
243583757,51.4252759,-0.04804,supermarket
243584788,51.4263195,-0.0262991,supermarket
243832551,51.4587258,0.004499,supermarket
244056695,51.5247178,-0.0752781,convenience
244445621,51.4726777,0.0458929,supermarket
