id,lat,lon,amenity
2199508852,51.4380968,0.2701003,confectionery
2199508853,51.4384927,0.2697925,clothes
2199508854,51.4381433,0.2699321,clothes
2199517680,51.3762615,-0.014446,bicycle
2199537572,51.4383759,0.2702069,other
2199537574,51.4384778,0.2700154,boutique
2199537575,51.4384093,0.2700785,clothes
2199539436,51.3825743,-0.0187026,post_box
2199539437,51.4382796,0.2694471,atm
2199539438,51.4383644,0.2693919,bank
2202020869,51.5065404,-0.2193756,department_store
2202024778,51.4928497,-0.2288797,supermarket
2204270061,51.4684895,-0.2895706,kindergarten
2204421493,51.5274395,-0.0212824,place_of_worship
2204421496,51.5280556,-0.0218966,convenience
2204450905,51.460831,-0.304299,bicycle_parking
2204451097,51.461175,-0.302089,bicycle_parking
2204808448,51.509282,-0.0266878,kiosk
2204808472,51.5093022,-0.0265847,vending_machine
2204808477,51.5093079,-0.026601,vending_machine
2204808605,51.5099976,-0.0280364,car_repair
2206488398,51.432024,-0.093831,bicycle_parking
2206587704,51.464305,-0.2736845,bicycle_parking
2206888652,51.5160548,-0.1546682,post_box
2207164201,51.301302,-0.4892538,pub
2207164206,51.299531,-0.4932531,pub
2207164210,51.3001616,-0.4923439,pharmacy
2207164218,51.3000694,-0.4925503,post_box
2207164222,51.300435,-0.4918878,pub
2207164224,51.3000359,-0.4925342,post_office
2207345842,51.4593844,-0.2549324,bicycle_parking
2207345843,51.4632697,-0.2503298,convenience
2207345844,51.4632714,-0.2504934,pharmacy
2207345846,51.4632814,-0.2500213,supermarket
2208150035,51.5337144,-0.1069716,bar
2208159997,51.4396459,0.2705701,optician
2208178284,51.4392572,0.2693878,clothes
2208178285,51.4393119,0.2695084,clothes
2208178286,51.4392013,0.2693646,clothes
2208178287,51.4392757,0.2695335,clothes
2208178290,51.4390364,0.2696369,computer
2208178294,51.439213,0.2692956,shoes
2208178297,51.4391146,0.2697622,bag
2208180010,51.4390645,0.2695871,clothes
2209033698,51.5182675,-0.1460871,post_box
2209072885,51.4638032,-0.3008703,bicycle_parking
2209146344,51.5203729,-0.1459203,parking
2209216892,51.5258632,-0.1359401,coffee
2209247759,51.3827446,-0.1216116,shop
2209254922,51.4000809,0.0183596,coffee
2209707534,51.5462035,-0.0730314,coffee
2210580018,51.4643837,-0.268701,bicycle_parking
2210580032,51.4642265,-0.2686473,bicycle_parking
2210580126,51.4645909,-0.2671292,bicycle_parking
2210580393,51.4640295,-0.2701976,bicycle_parking
2210581319,51.4679194,-0.2672526,bicycle_parking
2210692200,51.5804882,-0.3424593,bicycle_parking
2210692205,51.580597,-0.3426482,bicycle_parking
2211163110,51.4374905,0.0724732,post_office
2211163609,51.437494,0.0724275,atm
2211170180,51.4362934,0.0805518,school
2211186844,51.4362778,0.1045882,swimming_pool
2212271804,51.5807356,-0.3428677,atm
2213631159,51.5245119,-0.1174107,charging_station
2214632278,51.4384412,0.2701126,clothes
2214632282,51.4380325,0.2704698,mobile_phone
2214632286,51.4383067,0.270429,confectionery
2214632289,51.4380495,0.2703462,bag
2214632292,51.4380781,0.2702485,clothes
2214632295,51.4383748,0.2703297,mobile_phone
2214632296,51.4384067,0.27024,art_gallery
2215364435,51.5091726,-0.1457036,vending_machine
2215435013,51.5111745,-0.1412451,clothes
2216165771,51.587798,-0.2212419,bank
2216338567,51.4393173,-0.3625002,atm
2216340240,51.4347112,-0.3754177,atm
2216354758,51.4362706,-0.377616,car_repair
2216380497,51.4877346,-0.2494085,alcohol
2216576544,51.52868,-0.1445139,hardware
2217127366,51.4449518,-0.1523815,pub
2217127368,51.360548,-0.1920397,restaurant
2217385863,51.4771857,-0.2860722,convenience
2217387785,51.4765305,-0.2847594,library
2217403515,51.4770616,-0.285591,restaurant
2217456081,51.4777818,-0.2860572,music
2218253505,51.4394485,0.2716811,clothes
2218253507,51.4396956,0.2713943,stationery
2218253508,51.4398407,0.2707112,beauty
2218253509,51.4395915,0.2719375,clothes
2218253512,51.4397232,0.2712766,clothes
2218253515,51.4395952,0.2709176,clothes
2218253519,51.4395486,0.2715889,jewelry
2218253527,51.4399482,0.2710457,clothes
2218253531,51.4395577,0.2708187,clothes
2218253539,51.4396668,0.2711237,jewelry
2218253542,51.4395955,0.2715155,beauty
2218253545,51.4398954,0.2708868,clothes
2218253548,51.4397434,0.271781,clothes
2218253553,51.4396236,0.2710018,shoes
2218253559,51.4396758,0.2714706,mobile_phone
2218253561,51.4398652,0.2707932,beauty
2218253562,51.4393738,0.2717503,clothes
2218253563,51.43981,0.2717138,clothes
2218253572,51.4398587,0.2716557,clothes
2218253575,51.4394987,0.272189,coffee
2218255033,51.4400165,0.2712452,shoes
2218392823,51.4921713,-0.1518325,estate_agent
